MonoAnion	MonoAnion	Dianion	Dianion
20682.5232678387	2.41631567164193E-4	20668.4165926048	4.8120888532116E-4
20668.4165926048	2.81631844323454E-4	20653.9025548877	5.04730273546909E-4
20653.9025548877	3.8442432077581E-4	20639.8348813209	4.94020985308097E-4
20639.8348813209	3.05900349367217E-4	20625.7863581049	5.43105132097364E-4
20625.7863581049	3.90522690875874E-4	20611.3321103943	5.31257424622282E-4
20611.3321103943	4.09800741369778E-4	20597.3223480947	6.02905368832378E-4
20597.3223480947	3.45582737523902E-4	20583.3316180557	5.67126666603057E-4
20583.3316180557	4.13025077271302E-4	20568.9367916572	5.24484417733839E-4
20568.9367916572	4.88787771843721E-4	20554.9845837616	5.32021573329377E-4
20554.9845837616	3.90286555464671E-4	20541.0512910051	5.47817918678612E-4
20541.0512910051	4.31877752886939E-4	20526.7155202496	5.63072482486333E-4
20526.7155202496	5.06105437975295E-4	20512.8205128205	5.02933465795844E-4
20512.8205128205	4.5218155873577E-4	20498.9443043683	5.09221423845359E-4
20498.9443043683	5.33716086146353E-4	20484.6672265809	5.07622707710376E-4
20484.6672265809	5.19459825272393E-4	20470.8290685773	4.91951461301933E-4
20470.8290685773	5.56700340916156E-4	20457.0095943375	5.26886682343008E-4
20457.0095943375	5.29296144937114E-4	20442.7908498068	5.4309430525013E-4
20442.7908498068	5.3419464133648E-4	20429.0091930541	5.1976638340031E-4
20429.0091930541	5.62388381838242E-4	20415.2461057918	5.43226103542707E-4
20415.2461057918	6.10447973650031E-4	20401.08533774	5.71984031486615E-4
20401.08533774	7.34560728198666E-4	20387.3598369011	5.35423297858782E-4
20387.3598369011	8.01864919466654E-4	20373.6527922091	5.24351169029112E-4
20373.6527922091	7.76085186731072E-4	20359.5496467618	5.70358060614999E-4
20359.5496467618	7.79215062013445E-4	20345.8799593082	5.28963118091666E-4
20345.8799593082	8.02003480972068E-4	20332.2286155786	5.24889096664483E-4
20332.2286155786	9.08465235583858E-4	20318.1827417356	5.57474654365963E-4
20318.1827417356	9.16388099648665E-4	20304.5685279188	5.82936516201497E-4
20304.5685279188	9.02430721493083E-4	20290.9725463141	5.19549144930161E-4
20290.9725463141	8.54290978738361E-4	20276.9835959203	5.25618878769808E-4
20276.9835959203	8.72945360580551E-4	20263.4245187437	5.64521082169166E-4
20263.4245187437	9.08101569693549E-4	20249.8835631695	5.9903177724883E-4
20249.8835631695	8.81801586902039E-4	20235.9511908857	5.84013312446616E-4
20235.9511908857	8.95184833816215E-4	20222.4469160768	5.80320965352826E-4
20222.4469160768	8.04572830781051E-4	20208.9606531536	6.17742590413609E-4
20208.9606531536	8.89358675293819E-4	20195.0845164287	5.46522536925706E-4
20195.0845164287	8.03609799659559E-4	20181.6347124117	5.9757685715663E-4
20181.6347124117	8.01893800100369E-4	20168.2028114475	5.8029182840581E-4
20168.2028114475	8.76179377166843E-4	20154.38257049	5.85198568571924E-4
20154.38257049	8.94295985914501E-4	20140.9869083585	5.78302891306773E-4
20140.9869083585	9.77902470256824E-4	20127.609041322	6.78089872164542E-4
20127.609041322	0.00103026955972682	20113.8443590723	6.37886034344148E-4
20113.8443590723	0.00104742928250207	20100.5025125628	6.24210432376112E-4
